start	end	text
0	14000	主席
14000	16000	严先生来了
16000	17000	严先生你好
17000	19000	这位是我们今天
19000	21000	团队的一个面试官叫Jolin
21000	23000	然后我们技术负责人的话
23000	24000	他现在有点事
24000	25000	可能晚点再进来
25000	26000	跟您继续聊好吧
26000	27000	好 没问题
27000	29000	先跟你聊一下技术
29000	31000	好的
31000	32000	要不咱们开始
32000	34000	麦克风和摄像头都开一下
34000	35000	严先生
35000	37000	让我们面试官了解一下
37000	39000	看一下 能看到吗
39000	41000	怎么黑的呀
41000	43000	稍等啊 看一下是什么情况
47000	49000	还是不行吗
49000	52000	是不是那个电脑的摄像头被遮挡了呀
52000	54000	上面有个开关
54000	56000	看是没有呀
56000	57000	对不起
57000	59000	不好意思
59000	60000	没关系
60000	61000	那我们先开始吧
61000	63000	您先简单介绍一下您的情况
63000	64000	好 面试官您好
64000	66000	首先很荣幸来参加WTS面试
66000	68000	然后我叫严松
68000	69000	目前是在小鹏这边
69000	71000	担任一个算法专家的岗位
71000	74000	然后我在这边主要做的事情是
74000	75000	多模态大模型
75000	78000	以及agent相关的一些工作
78000	80000	然后我主要是在
80000	82000	座舱这边的相关的业务
82000	83000	然后主要做的话
83000	85000	是有两个项目
85000	88000	一个是从零到一由我这边去推进的
88000	90000	然后算法这块也是由我这边去负责的
90000	92000	然后其中一个项目的话
92000	95000	是一个座舱内的一个GI agent的功能
95000	96000	背景的话就是
96000	99000	我们在把手机和手机通过蓝牙
99000	101000	去连接到我们的这个车机之后
101000	103000	可以在大屏上去显示出来
103000	105000	这个手机的一些
105000	107000	上面的一些内容吧
107000	109000	然后这样用户就可以直接通过
109000	112000	语音交互来完成一些发消息
112000	113000	收消息等工作
113000	114000	就可以完全解放双手了
114000	115000	然后这里边会涉及到一些
115000	119000	关于这个视觉感知
119000	121000	然后长程规划
121000	123000	包括这个GI agent的评测
123000	124000	等等这些东西
124000	125000	另外一个项目的话
125000	127000	是一个VQA的项目
127000	129000	这个就是基于我们车内的一个摄像头
129000	131000	可以去把我们整个舱内的
131000	134000	一个全景进行一个感知
134000	136000	然后我们基于这个图像的内容
136000	138000	去做一个VQA的问答
138000	140000	就比如说用户如果说问
140000	142000	我这天穿的怎么样的话
142000	143000	就可以去触发这个功能
143000	144000	然后去进行一些
144000	146000	类似于聊天式的回答吧
146000	148000	对 然后它中间也会涉到一些
148000	150000	function call的一些功能
150000	151000	比如说他问到这个
151000	153000	穿的衣服适不适合去哪里开会
153000	154000	那他就会有一些
154000	156000	获取天气内容
156000	158000	这么一个function的一个调用
158000	159000	对 这是我在这边
159000	160000	主要做的两个项目
160000	162000	然后目前在做的话
162000	164000	是一个关于数据闭环
164000	165000	的一个agent的功能
165000	166000	是因为我们这边
166000	168000	现在会把这个座舱
168000	169000	还有支架的一些数据
169000	171000	都进行一个融合
171000	172000	然后希望能够利用
172000	174000	这些数据进行一个数据闭环
174000	176000	能够去拿到一些难力
176000	177000	然后去迭代
177000	179000	我们的一些业务模型
179000	180000	所以这边做的事情
180000	181000	就是说把一些
181000	183000	现场模型的一些难力
183000	184000	通过我们自己的模型
184000	186000	来去挑选出来
186000	187000	然后把它去进行
187000	188000	一些筛选之后
188000	190000	给到我们业务方向去训练
190000	191000	是做这么一个
191000	192000	大概这么一个事情 对
192000	193000	然后这就是
193000	195000	我在小鹏这边主要工作
195000	196000	然后也都是针对大模型去做的
196000	197000	那小鹏之前的话
197000	200000	就是针对一些CV的一些
200000	201000	纯CV的一些小模型
201000	203000	去做的一些工作了
203000	204000	包括在小米这边
204000	206000	做一些手机端的一些算法
206000	207000	包括之前在一些
207000	208000	包括百度
208000	210000	然后像YBK
210000	212000	都是做一些针对
212000	213000	针对各个业务
213000	214000	做的一些小模型的
214000	215000	一些研发吧
215000	216000	是我这边的一些情况 对
216000	217000	然后这边有什么问题
217000	220000	请您咱们可以讨论
220000	223000	好 我先说一下
223000	225000	我自己主要是做算法的
225000	226000	所以说像一会儿
226000	227000	我们技术负责人来了之后
227000	228000	他会跟你聊一些
228000	229000	别的相关的问题
229000	230000	我就先问一下
230000	232000	我比较感兴趣的
232000	234000	第一个是
234000	235000	能听到声音的吧
235000	236000	没问题
236000	237000	OK OK
237000	238000	首先我首先听到
238000	239000	你刚刚说了很多
239000	241000	你们做了很多动模Pad
241000	243000	然后你们牵扯到视觉
243000	245000	然后其实现在我们这边
245000	248000	也有相关的一些这个业务吧
248000	251000	也是通过视觉来要它输出
251000	253000	对当前场景的一些描述
253000	255000	那其实有一个问题
255000	256000	就会涉及到
256000	257000	你们是怎么评估
257000	258000	你们模型输出的
258000	260000	它是否准确呢
260000	262000	这种评测
262000	266000	是你们自己是标注
266000	267000	然后做评估
267000	269000	还是说用开源模型测
269000	271000	还是说怎么怎么
271000	272000	另外有一点就是说
